               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.023696,            0.011325,                   0,             0.84811,             0.85815,             0.91055,             0.62708,            0.026172,            0.006922,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023509,            0.011505,                   0,             0.83844,             0.84124,             0.89765,              0.6117,            0.026103,           0.0069768,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023364,            0.010816,                   0,             0.84032,              0.8697,             0.90877,             0.61187,            0.026723,           0.0068468,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02318,            0.011404,                   0,             0.86984,             0.84414,             0.90454,             0.62093,            0.025871,           0.0068583,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022659,            0.011163,                   0,             0.83809,             0.81732,             0.89138,             0.62428,             0.02422,           0.0072396,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022648,            0.010442,                   0,             0.81746,             0.89368,             0.90898,             0.61944,            0.025407,           0.0071511,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022877,            0.011034,                   0,              0.8913,             0.85445,             0.91134,              0.6269,             0.02434,           0.0069964,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022422,            0.010846,                   0,             0.85362,             0.87579,             0.91065,             0.63139,            0.025328,           0.0071682,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022294,            0.011011,                   0,             0.86944,             0.86947,             0.91418,             0.63845,            0.025058,           0.0068759,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02237,             0.01063,                   0,             0.84136,             0.87263,             0.91214,             0.61543,            0.024421,           0.0075035,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022537,            0.011548,                   0,             0.89221,             0.81579,             0.90631,              0.6218,            0.025605,           0.0074116,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022146,            0.010671,                   0,             0.83241,             0.84179,             0.88719,             0.60564,            0.024821,           0.0073456,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022045,            0.010181,                   0,             0.87395,             0.86632,             0.91848,             0.62121,             0.02523,           0.0069943,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021856,            0.010068,                   0,             0.87995,             0.85579,             0.92059,             0.63842,            0.025725,           0.0069581,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021848,            0.011149,                   0,             0.84054,             0.86842,             0.91627,             0.63764,            0.024802,           0.0070085,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020852,              0.0104,                   0,             0.87873,             0.84842,             0.91482,             0.63415,            0.024616,           0.0071202,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021172,             0.01072,                   0,             0.86771,             0.84526,             0.90983,             0.62333,            0.023987,           0.0073319,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021025,            0.010563,                   0,             0.86601,             0.88632,             0.91807,              0.6361,            0.024362,           0.0070679,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020405,            0.010125,                   0,             0.87792,             0.83579,             0.91411,             0.63336,            0.024937,            0.007129,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021386,            0.010638,                   0,             0.85227,             0.86842,             0.91014,             0.62509,            0.024852,           0.0071261,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020182,            0.010439,                   0,             0.86096,             0.84842,             0.90156,             0.61927,             0.02524,           0.0071868,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020395,           0.0099293,                   0,              0.8484,             0.85417,             0.90892,             0.63113,            0.025006,           0.0071866,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020333,            0.010088,                   0,             0.86804,             0.86211,             0.91081,             0.63955,             0.02455,           0.0070576,                   0,            0.002476,            0.002476,            0.002476
                  78,              0.0204,            0.010194,                   0,             0.86392,             0.83536,             0.90219,             0.63827,            0.024657,           0.0072346,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020241,            0.010148,                   0,             0.85821,             0.85474,             0.90482,              0.6269,             0.02527,           0.0071487,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019843,            0.010358,                   0,             0.84216,             0.84842,             0.90101,             0.62538,            0.025235,           0.0073933,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020271,             0.01013,                   0,             0.88489,                0.82,             0.89712,             0.62733,            0.025411,           0.0073828,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019919,             0.01026,                   0,             0.87303,             0.83231,              0.9063,             0.62742,            0.026124,           0.0071961,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019595,           0.0098485,                   0,             0.85419,             0.83789,             0.90308,             0.63515,            0.025146,           0.0071422,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019335,            0.010029,                   0,             0.85819,             0.83449,             0.90134,             0.62352,            0.025385,           0.0073703,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01872,           0.0093801,                   0,             0.88401,             0.82634,              0.8945,              0.6242,            0.025862,           0.0074652,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019187,           0.0091941,                   0,             0.87865,             0.81551,             0.89728,             0.62199,            0.025521,           0.0074753,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019683,            0.010006,                   0,             0.82267,             0.83993,             0.88542,              0.6213,            0.024946,           0.0075548,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018644,           0.0096701,                   0,              0.8781,             0.83895,             0.91139,             0.64379,            0.024777,           0.0072821,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01875,           0.0096378,                   0,             0.87467,             0.83012,             0.90573,             0.63451,            0.024986,           0.0074034,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019141,           0.0098334,                   0,             0.86629,             0.84947,             0.90526,             0.63313,            0.025202,           0.0073334,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018833,           0.0096239,                   0,             0.88148,             0.84632,             0.90398,             0.63457,            0.024963,            0.007285,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018969,           0.0098358,                   0,             0.85942,             0.83789,             0.89054,             0.63184,            0.024585,           0.0075077,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018489,           0.0091662,                   0,             0.85266,             0.82632,             0.88024,             0.61137,            0.025927,           0.0077647,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018476,           0.0094426,                   0,             0.87284,             0.81643,             0.89456,             0.62773,            0.025488,           0.0075462,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018312,           0.0091041,                   0,             0.84773,             0.85158,             0.89574,             0.63192,            0.024621,           0.0075669,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018403,           0.0094123,                   0,             0.85276,             0.84842,             0.89975,             0.63338,             0.02416,           0.0076062,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018079,           0.0091994,                   0,             0.87632,             0.83789,             0.90458,              0.6324,            0.024682,            0.007613,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018203,           0.0089388,                   0,             0.86212,             0.85562,             0.90832,             0.63892,            0.024571,           0.0075433,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018116,           0.0093939,                   0,             0.87154,             0.84981,             0.91144,             0.64224,            0.024521,           0.0074482,                   0,            0.000298,            0.000298,            0.000298
